obj_rmse_open,obj_rmse_close,obj_1_minus_dir_acc_open,obj_1_minus_dir_acc_close,param_learning_rate,param_num_leaves,param_max_depth,param_min_child_samples,param_min_gain_to_split,param_feature_fraction,param_bagging_fraction,param_bagging_freq,param_lambda_l1,param_lambda_l2,trial_number
58566.972565270895,58566.972566301665,0.5747332149105819,0.5460446355829205,0.03574712922600244,244,10,64,0.15601864044243652,0.49359671220172163,0.4348501673009197,9,0.002570603566117598,0.023585940584142682,0
58566.9725652221,58566.97256648161,0.5764962002323935,0.5454836857077985,0.010725209743171997,248,11,29,0.18182496720710062,0.5100427059120604,0.5825453457757226,6,7.71800699380605e-05,4.17890272377219e-06,1
58566.97256567244,58566.97256654542,0.5383783206229215,0.5460446355829205,0.07896186801026692,56,3,96,0.9656320330745594,0.8850384088698766,0.5827682615040224,1,0.014391207615728067,9.148975058772307e-05,3
58566.97256552708,58566.97256652721,0.5587194315707933,0.5460446355829205,0.015144860262751412,134,3,92,0.2587799816000169,0.7975133706123891,0.5870266456536466,6,0.0008325158565947976,4.609885087947832e-07,4
58566.97256567244,58566.97256654542,0.5383783206229215,0.5460446355829205,0.27051668818999286,201,12,91,0.5978999788110851,0.9531245410138701,0.4530955012311517,2,2.5529693461039728e-08,8.471746987003668e-06,5
58566.972565430544,58566.972566330085,0.5633405900658448,0.5460446355829205,0.18832519048593593,165,6,15,0.3109823217156622,0.5951099932160482,0.8377637070028385,7,0.9658611176861268,0.0001778010520878397,8
58566.97256567244,58566.97256654542,0.5383783206229215,0.5460446355829205,0.011128194768838964,168,6,56,0.907566473926093,0.549575337489325,0.6462297538213778,8,1.1459970229341322e-06,4.929685216887945e-08,10
58566.97256567244,58566.97256654542,0.5383783206229215,0.5460446355829205,0.04135867955263894,68,4,40,0.9429097039125192,0.5939217592124532,0.7112743730460196,8,1.8735548907110496e-05,5.572354590728726,13
58566.97256575344,58566.97256635038,0.5383783206229215,0.5460446355829205,0.2640288328540435,75,7,37,0.2848404943774676,0.4221321684127197,0.7657386003879381,6,2.906088000706637e-08,3.21972053981427e-06,14
58566.97256567244,58566.97256654542,0.5383783206229215,0.5460446355829205,0.21959317857485672,72,4,54,0.9856504541106007,0.5452331629069003,0.8032813284435272,8,1.3763785504379889e-06,0.03580528521176685,15
58566.97256460772,58566.97256322837,0.6182736099795654,0.5097832329411136,0.034934962585119265,167,9,58,0.0902897700544083,0.9011814973535428,0.5924680389830415,2,2.3279640748356466e-08,0.0020798714270728416,16
58566.9725651129,58566.972566515695,0.5698315814779693,0.5453501262137219,0.03190041672417551,42,12,89,0.2579416277151556,0.7959904276205074,0.8903333201207295,6,0.0005845951462609696,1.5020023705702004e-06,18
58566.97256567244,58566.97256654542,0.5383783206229215,0.5460446355829205,0.08878888265538125,35,4,91,0.6064290596595899,0.4055182309699778,0.4608829257196193,7,1.1105912682481444e-08,2.800737863803595e-07,20
58566.97256569039,58566.97256637199,0.5383783206229215,0.5453768381125372,0.1492906709779314,136,8,54,0.1952429877980445,0.8334712691569033,0.5684634174645135,1,0.006445411701103587,3.926414226888425e-07,23
58566.97256416018,58566.972562269664,0.6309617619168458,0.4910849037703845,0.24500297851058134,244,12,43,0.015456616528867428,0.9569911375526352,0.6569104889903886,10,4.705218477150976,0.4754283761334844,24
58566.97256447925,58566.972564740354,0.6291052849491806,0.5117465575040402,0.011093090790700134,24,11,42,0.12706051265188478,0.7133459560328826,0.8619961318591665,3,0.00403658667619465,5.86309842648542e-08,29
58566.97256567244,58566.97256654542,0.5383783206229215,0.5460446355829205,0.044505533943559134,33,3,97,0.8359801205122058,0.8175845236562188,0.6453717666485619,2,2.5581934582853404e-07,1.787253200645737e-06,31
58566.97256567244,58566.97256654542,0.5383783206229215,0.5460446355829205,0.06475515989686911,187,9,35,0.9548652806631941,0.8427381500174611,0.7326124315068404,7,5.9758620281693596e-05,1.6965978234377985e-06,32
58566.97256448945,58566.972563231175,0.6102733962843749,0.5117599134534478,0.05535964054794066,221,9,24,0.07056874740042984,0.7854515669237894,0.41590678632497313,6,2.897825120061561,0.001511010912721949,35
58566.97256474189,58566.972562504496,0.6093518357752461,0.5061771266010444,0.014088388780829922,19,3,72,0.07118864846022899,0.5913853781762568,0.9069251865816728,1,0.21390273781908226,3.441065765840757e-06,37
58566.97256567244,58566.97256654542,0.5383783206229215,0.5460446355829205,0.014946647023314875,182,9,89,0.7350710438038858,0.8820885582309091,0.5692207435427838,2,0.056955119153681656,0.18260499512560646,38
58566.972565557415,58566.97256477291,0.5633138781670295,0.5367355388457788,0.2904665979638737,114,6,80,0.34080354025301784,0.9584543953621388,0.9150476511058071,5,0.05725845299740601,0.061785400584597826,39
58566.97256568148,58566.9725665276,0.5383783206229215,0.5460446355829205,0.029625450352016573,243,12,62,0.6318372121697993,0.6690673131869919,0.5759264630188388,4,0.011289276361349378,0.0590705160493007,41
58566.97256582758,58566.972562230636,0.6036087775299508,0.5062706182468981,0.14765842451489417,205,3,54,0.057558760016644284,0.7297173293942414,0.6649183008240263,9,1.4395777080921819e-05,1.131366064444819e-07,42
58566.972564724834,58566.97256533185,0.6101264808408906,0.5298705808502397,0.01626357634890109,198,9,19,0.08410680611499743,0.820581478875472,0.44365780381851616,9,0.022708060593255502,5.3968335759085875e-08,43
58566.97256567244,58566.97256654542,0.5383783206229215,0.5460446355829205,0.014914219038863051,171,10,63,0.9621725484745419,0.6249223477142225,0.5714272517691165,9,1.0288748388522558e-06,4.666624480502756,46
