date,open,high,low,close,volume
2025-02-25,957.0821730863591,965.5602632022816,953.314133034838,959.908203125,60700
2025-02-26,960.8502655487518,960.8502655487518,939.1840340706917,941.0680541992188,176300
2025-02-27,946.7201318938937,958.0242528717312,945.7781218124072,952.3721923828125,155500
2025-02-28,945.7780827308769,949.5461229011195,937.2999923478312,946.7200927734375,98200
2025-03-03,951.4301605374646,958.0242309570312,946.7201102377743,958.0242309570312,68900
2025-03-04,954.2561532209019,954.2561532209019,941.0680128999812,943.89404296875,94200
2025-03-05,948.6040715414381,957.0821615552146,944.8360315353152,949.5460815429688,66600
2025-03-06,957.0821730863591,970.270313266683,957.0821730863591,959.908203125,89100
2025-03-07,957.0821583173429,971.2123082925004,945.7780383372167,966.5022583007812,85900
2025-03-10,972.154371014416,977.8064313110115,967.4443207672532,974.0383911132812,40100
2025-03-11,959.9082359075546,972.1543664932251,948.6041153669357,964.6182861328125,61300
2025-03-12,960.8502244671571,972.154344755006,959.9082144431698,970.2703247070312,38100
2025-03-13,971.2123082925004,973.0963282891881,957.0821583173429,966.5022583007812,76100
2025-03-14,966.5022780526831,972.1543381582544,965.5602680350879,969.3283081054688,46800
2025-03-17,972.1543559753242,981.5744563239223,972.1543559753242,980.6324462890625,53100
2025-03-18,980.6324443708147,991.9365647670201,980.6324443708147,989.1105346679688,62200
2025-03-19,990.0525664698575,992.8785966310465,980.6324659325611,983.45849609375,53200
2025-03-21,982.5164597731371,986.2844998873197,975.9223895733173,979.6904296875,72700
2025-03-24,978.7484479378962,978.7484479378962,970.270357436028,974.9804077148438,73300
2025-03-25,983.458476393642,985.3424964633615,976.8644061496233,980.6324462890625,37900
2025-03-26,984.4004779593847,988.1685180664062,977.8064077720969,988.1685180664062,50100
2025-03-27,988.1686050690364,991.9366455078125,980.6325241914842,991.9366455078125,57800
2025-03-28,1000.758128566368,1009.579698749617,993.8969073127298,999.7779541015625,70600
2025-03-31,986.0555334842566,987.0357079708215,970.3727416992188,970.3727416992188,148900
2025-04-01,979.1942988804408,981.1546478271484,960.5709838867188,960.5709838867188,162000
2025-04-02,962.5313502365981,965.4718737098259,949.7890818526105,964.49169921875,139100
2025-04-03,920.3838673790843,933.1261360435445,914.5028203031796,924.3045654296875,195600
2025-04-04,894.8992987896063,900.7803456600747,831.1879576928654,844.910400390625,396200
2025-04-07,771.3973149395234,781.199059729098,745.9127784866293,762.5757446289062,273800
2025-04-08,785.1197510501876,839.0293469400257,785.1197510501876,812.5646362304688,182400
2025-04-09,803.7430547776067,804.7232292346526,767.4765998669099,786.0999145507812,140400
2025-04-10,859.6130220644942,862.5535455151139,829.2276130747572,839.0293579101562,140400
2025-04-11,810.6042787458894,830.2077679537706,793.9413129191903,824.3267211914062,86300
2025-04-14,845.8905940996473,861.5733861107647,840.0095470954782,859.613037109375,85900
2025-04-15,860.5931765926173,864.5138744358638,851.7716064453125,851.7716064453125,45200
2025-04-16,845.890583783318,850.7914562270221,829.2276174747243,833.1483154296875,54400
2025-04-17,834.1285072344527,840.0095542889848,829.2276346890095,837.0690307617188,30200
2025-04-18,844.910408871592,860.5932006835938,842.9500598950918,860.5932006835938,41700
2025-04-21,854.7121691347949,859.6130416642375,847.8509475935751,853.7319946289062,58800
2025-04-22,853.7319684511431,861.5733642578125,853.7319684511431,861.5733642578125,36700
2025-04-23,878.236343503937,885.0975649375615,863.5337261461702,871.3751220703125,173800
2025-04-24,880.1966944715712,892.9389628770616,879.2165199788412,882.1570434570312,45800
2025-04-25,884.1173643369932,906.661376953125,884.1173643369932,906.661376953125,38800
2025-04-28,910.5820638767844,920.3838083749199,907.6415405273438,907.6415405273438,61700
