Date,sp500_ret,sp500_ret_5d,nasdaq_ret,vix_level,vix_change,vix_high,usdjpy_ret,usdjpy_level,nk_futures_ret
2024-02-26,,,,13.739999771118164,,0.0,,150.4980010986328,
2024-02-27,0.0017063496993998672,,0.003696099190204194,13.430000305175781,-0.3099994659423828,0.0,0.000451787821540206,150.5659942626953,-0.0013977128335450617
2024-02-28,-0.001658155060430544,,-0.005460426146002173,13.84000015258789,0.4099998474121094,0.0,-0.0004715483456638747,150.4949951171875,-0.006234889935106236
2024-02-29,0.005229094697149161,,0.009040759717745095,13.399999618530273,-0.4400005340576172,0.0,0.0010698743972323843,150.656005859375,0.006530089628681068
2024-03-01,0.00800782894888763,,0.011373441373127013,13.109999656677246,-0.28999996185302734,0.0,-0.0037237455982706003,150.09500122070312,0.02327948098206334
2024-03-04,-0.0011932620709189656,0.01211560297684633,-0.004143220330287578,13.489999771118164,0.38000011444091797,0.0,6.658787271174305e-05,150.10499572753906,-0.0028592739930383138
2024-03-05,-0.010193100883444606,9.249899496288627e-05,-0.016530603760192664,14.460000038146973,0.9700002670288086,0.0,0.002405034480564394,150.46600341796875,-0.0074803640443834585
2024-03-06,0.005141103203274655,0.0069036801777697665,0.005768667588931464,14.5,0.039999961853027344,0.0,-0.00277143963962867,150.0489959716797,0.013314910187162354
2024-03-07,0.010304127925951478,0.011987167774838436,0.015085253391797115,14.4399995803833,-0.06000041961669922,0.0,-0.005198293892243688,149.2689971923828,-0.014379571092103638
2024-03-08,-0.0065285190034379825,-0.002606565697850116,-0.011569172022392493,14.739999771118164,0.3000001907348633,0.0,-0.009385746557651564,147.8679962158203,-0.022135580430134527
2024-03-11,-0.001122238087346461,-0.0025356422126521228,-0.004093277501581061,15.220000267028809,0.48000049591064453,0.0,-0.007398451109246529,146.7740020751953,-0.015691318327974324
2024-03-12,0.011201787981366396,0.019024764267155048,0.015379609957051343,13.84000015258789,-1.380000114440918,0.0,-0.00028620495247888567,146.73199462890625,0.018032144257154048
2024-03-13,-0.0019245297153407392,0.011861536242408599,-0.00540219254125307,13.75,-0.09000015258789062,0.0,0.0060450937727349885,147.61900329589844,-0.012835322808368632
2024-03-14,-0.0028710915621273925,-0.0013339931660543147,-0.0030436369931828855,14.399999618530273,0.6499996185302734,0.0,1.3540948811119335e-05,147.62100219726562,-0.0023403978676375115
2024-03-15,-0.006482917484461503,-0.0012881532121825634,-0.009632641594030877,14.40999984741211,0.010000228881835938,0.0,0.004572540774759215,148.29600524902344,0.008471262869803153
2024-03-18,0.006318059504952345,0.0061509085353002035,0.008156194047562515,14.329999923706055,-0.07999992370605469,0.0,0.004443791866980185,148.9550018310547,0.02041871284569652
2024-03-19,0.0056491496501236416,0.0006260052290070206,0.003933308886094222,13.819999694824219,-0.5100002288818359,0.0,0.0012688084253960064,149.1439971923828,0.010258358662613931
2024-03-20,0.008904173912846591,0.011482381100254235,0.01253310748131975,13.039999961853027,-0.7799997329711914,0.0,0.012679065234434628,151.03500366210938,0.012536041118214936
2024-03-21,0.0032365354015160275,0.017677926141402844,0.0019811152137096943,12.920000076293945,-0.11999988555908203,0.0,-0.0018208305929443558,150.75999450683594,0.011390367710783611
2024-03-22,-0.0014021878490156903,0.022882211492585736,0.0016449659920487747,13.0600004196167,0.1400003433227539,0.0,0.005790668150980949,151.63299560546875,-0.005875872199779697
2024-03-25,-0.0030549644525015296,0.013354906100998098,-0.0026995005442512765,13.1899995803833,0.12999916076660156,0.0,-0.002163136910787733,151.30499267578125,-0.010343553749538215
2024-03-26,-0.002799795225030266,0.004841221439113141,-0.004197298103708835,13.239999771118164,0.05000019073486328,0.0,0.00044947903997649696,151.3730010986328,0.0033594624860022737
2024-03-27,0.008630626525532925,0.004568775652984636,0.005137342249128984,12.779999732971191,-0.46000003814697266,0.0,0.001037157746260009,151.52999877929688,0.004712301587301626
2024-03-28,0.0011164855071790214,0.0024459104546741273,-0.0012231803666122865,13.010000228881836,0.23000049591064453,0.0,-0.0016036178827812941,151.28700256347656,-0.0027153789187854827
2024-03-29,0.0,0.0038535016368612673,0.0,,,0.0,0.0010113220259320155,151.44000244140625,0.0
2024-04-01,-0.0020135845401164643,0.004902097932852678,0.001060481678206937,13.649999618530273,,0.0,-0.0002773867248537787,151.3979949951172,-0.009282178217821735
2024-04-02,-0.0072390590731691296,0.0004285473530281081,-0.009537202134034861,14.609999656677246,0.9600000381469727,0.0,0.001208725764383134,151.58099365234375,-0.007995003123048128
2024-04-03,0.001091122364688113,-0.007049646345470673,0.0022788632814920717,14.329999923706055,-0.2799997329711914,0.0,-0.0002704848755971101,151.5399932861328,0.009066868152625585
2024-04-04,-0.012334336350379616,-0.020390749517536166,-0.014030437387686057,16.350000381469727,2.020000457763672,0.0,0.00027055805745956896,151.58099365234375,-0.02258829402221385
2024-04-05,0.011099194174331695,-0.00951787623145961,0.01242684640827707,16.030000686645508,-0.31999969482421875,0.0,-0.0019064804834139082,151.29200744628906,0.005362614913176689
2024-04-08,-0.00037463099831791524,-0.007891246690524989,0.0003348261776734418,15.1899995803833,-0.840001106262207,0.0,0.0026306412469176976,151.69000244140625,0.0029210058420117146
2024-04-09,0.0014454931932483817,0.0007876003177413882,0.0032410371150539685,14.979999542236328,-0.21000003814697266,0.0,0.001008635213047615,151.84300231933594,0.003925541344814487
2024-04-10,-0.009456980649108493,-0.009757304603747019,-0.008357288798496176,15.800000190734863,0.8200006484985352,0.0,-0.0004347221832821102,151.77699279785156,-0.009838546922300684
